genome,kingdom,phylum,class,genus,species
Baumannia_cicadellinicola_Hc__Homalodisca_coagulata__uid58111,Bacteria,Proteobacteria,Gammaproteobacteria,Baumannia,Baumannia_cicadellinicola
Bdellovibrio_bacteriovorus_HD100_uid61595,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrio,Bdellovibrio_bacteriovorus
Beijerinckia_indica_ATCC_9039_uid59057,Bacteria,Proteobacteria,Alphaproteobacteria,Beijerinckia,Beijerinckia_indica
Beutenbergia_cavernae_DSM_12333_uid59047,Bacteria,Actinobacteria,Actinobacteria,Beutenbergia,Beutenbergia_cavernae
Bifidobacterium_adolescentis_ATCC_15703_uid58559,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_adolescentis
Bifidobacterium_animalis_lactis_AD011_uid58911,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_animalis
Bifidobacterium_animalis_lactis_Bl_04_uid59359,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_animalis
Bifidobacterium_animalis_lactis_DSM_10140_uid59357,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_animalis
Bifidobacterium_bifidum_PRL2010_uid59883,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_bifidum
Bifidobacterium_bifidum_S17_uid59545,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_bifidum
Bifidobacterium_dentium_Bd1_uid43091,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_dentium
Bifidobacterium_longum_BBMN68_uid60163,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_longum
Bifidobacterium_longum_DJO10A_uid58833,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_longum
Bifidobacterium_longum_infantis_157F_uid62693,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_longum
Bifidobacterium_longum_infantis_ATCC_15697_uid58677,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_longum
Bifidobacterium_longum_JCM_1217_uid62695,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_longum
Bifidobacterium_longum_JDM301_uid49131,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_longum
Bifidobacterium_longum_NCC2705_uid57939,Bacteria,Actinobacteria,Actinobacteria,Bifidobacterium,Bifidobacterium_longum
Blattabacterium__Blattella_germanica__Bge_uid41533,Bacteria,Bacteroidetes,Flavobacteriia,Blattabacterium_,Blattabacterium_
Blattabacterium__Mastotermes_darwiniensis__MADAR_uid77127,Bacteria,Bacteroidetes,Flavobacteriia,Blattabacterium_,Blattabacterium_
Blattabacterium__Periplaneta_americana__BPLAN_uid41287,Bacteria,Bacteroidetes,Flavobacteriia,Blattabacterium_,Blattabacterium_
Bordetella_avium_197N_uid61563,Bacteria,Proteobacteria,Betaproteobacteria,Bordetella,Bordetella_avium
Bordetella_bronchiseptica_RB50_uid57613,Bacteria,Proteobacteria,Betaproteobacteria,Bordetella,Bordetella_bronchiseptica
Bordetella_parapertussis_12822_uid57615,Bacteria,Proteobacteria,Betaproteobacteria,Bordetella,Bordetella_parapertussis
Bordetella_pertussis_Tohama_I_uid57617,Bacteria,Proteobacteria,Betaproteobacteria,Bordetella,Bordetella_pertussis
Bordetella_petrii_DSM_12804_uid61631,Bacteria,Proteobacteria,Betaproteobacteria,Bordetella,Bordetella_petrii
Borrelia_afzelii_PKo_uid58653,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_afzelii
Borrelia_bissettii_DN127_uid71231,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_bissettii
Borrelia_burgdorferi_B31_uid57581,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_burgdorferi
Borrelia_burgdorferi_ZS7_uid59429,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_burgdorferi
Borrelia_duttonii_Ly_uid58791,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_duttonii
Borrelia_garinii_PBi_uid58125,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_garinii
Borrelia_hermsii_DAH_uid59225,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_hermsii
Borrelia_recurrentis_A1_uid58793,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_recurrentis
Borrelia_turicatae_91E135_uid58311,Bacteria,Spirochaetes,Spirochaetia,Borrelia,Borrelia_turicatae
Brachybacterium_faecium_DSM_4810_uid58649,Bacteria,Actinobacteria,Actinobacteria,Brachybacterium,Brachybacterium_faecium
Brachyspira_hyodysenteriae_WA1_uid59291,Bacteria,Spirochaetes,Spirochaetia,Brachyspira,Brachyspira_hyodysenteriae
Brachyspira_murdochii_DSM_12563_uid48819,Bacteria,Spirochaetes,Spirochaetia,Brachyspira,Brachyspira_murdochii
Brachyspira_pilosicoli_95_1000_uid50609,Bacteria,Spirochaetes,Spirochaetia,Brachyspira,Brachyspira_pilosicoli
Bradyrhizobium_BTAi1_uid58505,Bacteria,Proteobacteria,Alphaproteobacteria,Bradyrhizobium,Bradyrhizobium_BTAi1
Bradyrhizobium_japonicum_USDA_110_uid57599,Bacteria,Proteobacteria,Alphaproteobacteria,Bradyrhizobium,Bradyrhizobium_japonicum
Bradyrhizobium_ORS_278_uid58941,Bacteria,Proteobacteria,Alphaproteobacteria,Bradyrhizobium,Bradyrhizobium_ORS
Brevibacillus_brevis_NBRC_100599_uid59175,Bacteria,Firmicutes,Bacilli,Brevibacillus,Brevibacillus_brevis
Brevundimonas_subvibrioides_ATCC_15264_uid42117,Bacteria,Proteobacteria,Alphaproteobacteria,Brevundimonas,Brevundimonas_subvibrioides
Brucella_abortus_bv__1_9_941_uid58019,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_abortus
Brucella_abortus_S19_uid58873,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_abortus
Brucella_canis_ATCC_23365_uid59009,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_canis
Brucella_melitensis_ATCC_23457_uid59241,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_melitensis
Brucella_melitensis_biovar_Abortus_2308_uid62937,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_melitensis
Brucella_melitensis_bv__1_16M_uid57735,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_melitensis
Brucella_microti_CCM_4915_uid59319,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_microti
Brucella_ovis_ATCC_25840_uid58113,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_ovis
Brucella_pinnipedialis_B2_94_uid71131,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_pinnipedialis
Brucella_suis_1330_uid57927,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_suis
Brucella_suis_ATCC_23445_uid59015,Bacteria,Proteobacteria,Alphaproteobacteria,Brucella,Brucella_suis
Buchnera_aphidicola_5A__Acyrthosiphon_pisum__uid59285,Bacteria,Proteobacteria,Gammaproteobacteria,Buchnera,Buchnera_aphidicola
Buchnera_aphidicola_APS__Acyrthosiphon_pisum__uid57805,Bacteria,Proteobacteria,Gammaproteobacteria,Buchnera,Buchnera_aphidicola
Buchnera_aphidicola_Bp__Baizongia_pistaciae__uid57827,Bacteria,Proteobacteria,Gammaproteobacteria,Buchnera,Buchnera_aphidicola
Buchnera_aphidicola_Cc__Cinara_cedri__uid58579,Bacteria,Proteobacteria,Gammaproteobacteria,Buchnera,Buchnera_aphidicola
Buchnera_aphidicola__Cinara_tujafilina__uid68101,Bacteria,Proteobacteria,Gammaproteobacteria,Buchnera,Buchnera_aphidicola
Buchnera_aphidicola_Sg__Schizaphis_graminum__uid57913,Bacteria,Proteobacteria,Gammaproteobacteria,Buchnera,Buchnera_aphidicola
Buchnera_aphidicola_Tuc7__Acyrthosiphon_pisum__uid59283,Bacteria,Proteobacteria,Gammaproteobacteria,Buchnera,Buchnera_aphidicola
Burkholderia_383_uid58073,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_383
Burkholderia_ambifaria_AMMD_uid58303,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_ambifaria
Burkholderia_ambifaria_MC40_6_uid58701,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_ambifaria
Burkholderia_CCGE1001_uid42975,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_CCGE1001
Burkholderia_CCGE1002_uid42523,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_CCGE1002
