genome,kingdom,phylum,class,genus,species
Caulobacter_segnis_ATCC_21756_uid41709,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacter,Caulobacter_segnis
Cellulomonas_fimi_ATCC_484_uid66779,Bacteria,Actinobacteria,Actinobacteria,Cellulomonas,Cellulomonas_fimi
Cellulomonas_flavigena_DSM_20109_uid48821,Bacteria,Actinobacteria,Actinobacteria,Cellulomonas,Cellulomonas_flavigena
Cellulophaga_algicola_DSM_14237_uid62159,Bacteria,Bacteroidetes,Flavobacteriia,Cellulophaga,Cellulophaga_algicola
Cellulophaga_lytica_DSM_7489_uid63401,Bacteria,Bacteroidetes,Flavobacteriia,Cellulophaga,Cellulophaga_lytica
Cellvibrio__gilvus_ATCC_13127_uid68143,Bacteria,Actinobacteria,Actinobacteria,Cellvibrio,Cellvibrioi__gilvus
Cellvibrio_japonicus_Ueda107_uid59139,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrio,Cellvibrio_japonicus
Cenarchaeum_symbiosum_A_uid61411,Archaea,Thaumarchaeota,-,Cenarchaeum,Cenarchaeum_symbiosum
Chelativorans_BNC1_uid58069,Bacteria,Proteobacteria,Alphaproteobacteria,Chelativorans,Chelativorans_BNC1
Chitinophaga_pinensis_DSM_2588_uid59113,Bacteria,Bacteroidetes,Sphingobacteriia,Chitinophaga,Chitinophaga_pinensis
Chlamydia_muridarum_Nigg_uid57785,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_muridarum
Chlamydia_trachomatis_434_Bu_uid61633,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_trachomatis
Chlamydia_trachomatis_A_HAR_13_uid58333,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_trachomatis
Chlamydia_trachomatis_B_Jali20_OT_uid59351,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_trachomatis
Chlamydia_trachomatis_B_TZ1A828_OT_uid59349,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_trachomatis
Chlamydia_trachomatis_D_UW_3_CX_uid57637,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_trachomatis
Chlamydia_trachomatis_L2b_UCH_1_proctitis_uid61635,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_trachomatis
Chlamydia_trachomatis_L2c_uid68843,Bacteria,Chlamydiae,Chlamydiia,Chlamydia,Chlamydia_trachomatis
Chlamydophila_abortus_S26_3_uid57963,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_abortus
Chlamydophila_caviae_GPIC_uid57783,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_caviae
Chlamydophila_felis_Fe_C_56_uid57971,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_felis
Chlamydophila_pecorum_E58_uid66295,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_pecorum
Chlamydophila_pneumoniae_AR39_uid57809,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_pneumoniae
Chlamydophila_pneumoniae_CWL029_uid57811,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_pneumoniae
Chlamydophila_pneumoniae_J138_uid57829,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_pneumoniae
Chlamydophila_pneumoniae_TW_183_uid57997,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_pneumoniae
Chlamydophila_psittaci_6BC_uid63621,Bacteria,Chlamydiae,Chlamydiia,Chlamydophila,Chlamydophila_psittaci
Chlorobaculum_parvum_NCIB_8327_uid59185,Bacteria,Chlorobi,Chlorobia,Chlorobaculum,Chlorobaculum_parvum
Chlorobium_chlorochromatii_CaD3_uid58375,Bacteria,Chlorobi,Chlorobia,Chlorobium,Chlorobium_chlorochromatii
Chlorobium_limicola_DSM_245_uid58127,Bacteria,Chlorobi,Chlorobia,Chlorobium,Chlorobium_limicola
Chlorobium_luteolum_DSM_273_uid58175,Bacteria,Chlorobi,Chlorobia,Chlorobium,Chlorobium_luteolum
Chlorobium_phaeobacteroides_BS1_uid58131,Bacteria,Chlorobi,Chlorobia,Chlorobium,Chlorobium_phaeobacteroides
Chlorobium_phaeobacteroides_DSM_266_uid58133,Bacteria,Chlorobi,Chlorobia,Chlorobium,Chlorobium_phaeobacteroides
Chlorobium_phaeovibrioides_DSM_265_uid58129,Bacteria,Chlorobi,Chlorobia,Chlorobium,Chlorobium_phaeovibrioides
Chlorobium_tepidum_TLS_uid57897,Bacteria,Chlorobi,Chlorobia,Chlorobium,Chlorobium_tepidum
Chloroflexus_aggregans_DSM_9485_uid58621,Bacteria,Chloroflexi,Chloroflexi,Chloroflexus,Chloroflexus_aggregans
Chloroflexus_aurantiacus_J_10_fl_uid57657,Bacteria,Chloroflexi,Chloroflexi,Chloroflexus,Chloroflexus_aurantiacus
Chloroflexus_Y_400_fl_uid59085,Bacteria,Chloroflexi,Chloroflexi,Chloroflexus,Chloroflexus_Y
Chloroherpeton_thalassium_ATCC_35110_uid59187,Bacteria,Chlorobi,Chlorobia,Chloroherpeton,Chloroherpeton_thalassium
Chromobacterium_violaceum_ATCC_12472_uid58001,Bacteria,Proteobacteria,Betaproteobacteria,Chromobacterium,Chromobacterium_violaceum
Chromohalobacter_salexigens_DSM_3043_uid62921,Bacteria,Proteobacteria,Gammaproteobacteria,Chromohalobacter,Chromohalobacter_salexigens
Citrobacter_koseri_ATCC_BAA_895_uid58143,Bacteria,Proteobacteria,Gammaproteobacteria,Citrobacter,Citrobacter_koseri
Citrobacter_rodentium_ICC168_uid43089,Bacteria,Proteobacteria,Gammaproteobacteria,Citrobacter,Citrobacter_rodentium
Clavibacter_michiganensis_NCPPB_382_uid61625,Bacteria,Actinobacteria,Actinobacteria,Clavibacter,Clavibacter_michiganensis
Clavibacter_michiganensis_sepedonicus_uid61577,Bacteria,Actinobacteria,Actinobacteria,Clavibacter,Clavibacter_michiganensis
Clostridiales_genomosp__BVAB3_UPII9_5_uid46219,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_genomosp
Clostridium_acetobutylicum_ATCC_824_uid57677,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_acetobutylicum
Clostridium_acetobutylicum_DSM_1731_uid68293,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_acetobutylicum
Clostridium_beijerinckii_NCIMB_8052_uid58137,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_beijerinckii
Clostridium_botulinum_A2_Kyoto_uid59229,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_A3_Loch_Maree_uid59149,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_A_ATCC_19397_uid58927,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_A_ATCC_3502_uid61579,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_A_Hall_uid58931,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_B1_Okra_uid59147,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_Ba4_657_uid59173,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_B_Eklund_17B_uid59159,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_BKT015925_uid66203,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_E3_Alaska_E43_uid59157,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_botulinum_F_Langeland_uid58929,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_botulinum
Clostridium_cellulolyticum_H10_uid58709,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_cellulolyticum
Clostridium_cellulovorans_743B_uid51503,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_cellulovorans
Clostridium_difficile_630_uid57679,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_difficile
Clostridium_difficile_CD196_uid41017,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_difficile
Clostridium_difficile_R20291_uid40921,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_difficile
Clostridium_kluyveri_DSM_555_uid58885,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_kluyveri
Clostridium_kluyveri_NBRC_12016_uid59369,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_kluyveri
Clostridium_lentocellum_DSM_5427_uid49117,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_lentocellum
Clostridium_ljungdahlii_DSM_13528_uid50583,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_ljungdahlii
Clostridium_novyi_NT_uid58643,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_novyi
Clostridium_perfringens_13_uid57681,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_perfringens
Clostridium_perfringens_ATCC_13124_uid57901,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_perfringens
Clostridium_perfringens_SM101_uid58117,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_perfringens
Clostridium_phytofermentans_ISDg_uid58519,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_phytofermentans
Clostridium_saccharolyticum_WM1_uid51419,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_saccharolyticum
Clostridium_sticklandii_DSM_519_uid59585,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_sticklandii
Clostridium_SY8519_uid68705,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_SY8519
Clostridium_tetani_E88_uid57683,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_tetani
Clostridium_thermocellum_ATCC_27405_uid57917,Bacteria,Firmicutes,Clostridia,Clostridium,Clostridium_thermocellum
Collimonas_fungivorans_Ter331_uid70793,Bacteria,Proteobacteria,Betaproteobacteria,Collimonas,Collimonas_fungivorans
Colwellia_psychrerythraea_34H_uid57855,Bacteria,Proteobacteria,Gammaproteobacteria,Colwellia,Colwellia_psychrerythraea
Comamonas_testosteroni_CNB_2_uid62961,Bacteria,Proteobacteria,Betaproteobacteria,Comamonas,Comamonas_testosteroni
Conexibacter_woesei_DSM_14684_uid43467,Bacteria,Actinobacteria,Actinobacteria,Conexibacter,Conexibacter_woesei
Coprothermobacter_proteolyticus_DSM_5265_uid59253,Bacteria,Firmicutes,Clostridia,Coprothermobacter,Coprothermobacter_proteolyticus
Coraliomargarita_akajimensis_DSM_45221_uid47079,Bacteria,Verrucomicrobia,Opitutae,Coraliomargarita,Coraliomargarita_akajimensis
Coriobacterium_glomerans_PW2_uid65787,Bacteria,Actinobacteria,Actinobacteria,Coriobacterium,Coriobacterium_glomerans
Corynebacterium_aurimucosum_ATCC_700975_uid59409,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_aurimucosum
Corynebacterium_diphtheriae_NCTC_13129_uid57691,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_diphtheriae
Corynebacterium_efficiens_YS_314_uid62905,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_efficiens
Corynebacterium_glutamicum_ATCC_13032_uid57905,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_glutamicum
Corynebacterium_glutamicum_ATCC_13032_uid61611,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_glutamicum
Corynebacterium_glutamicum_R_uid58897,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_glutamicum
Corynebacterium_jeikeium_K411_uid58399,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_jeikeium
Corynebacterium_kroppenstedtii_DSM_44385_uid59411,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_kroppenstedtii
Corynebacterium_pseudotuberculosis_FRC41_uid50585,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_pseudotuberculosis
Corynebacterium_resistens_DSM_45100_uid50555,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_resistens
Corynebacterium_ulcerans_BR_AD22_uid68291,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_ulcerans
Corynebacterium_urealyticum_DSM_7109_uid61639,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_urealyticum
Corynebacterium_variabile_DSM_44702_uid62003,Bacteria,Actinobacteria,Actinobacteria,Corynebacterium,Corynebacterium_variabile
Coxiella_burnetii_CbuG_Q212_uid58893,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiella,Coxiella_burnetii
Coxiella_burnetii_CbuK_Q154_uid58895,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiella,Coxiella_burnetii
Coxiella_burnetii_Dugway_5J108_111_uid58629,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiella,Coxiella_burnetii
Coxiella_burnetii_RSA_331_uid58637,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiella,Coxiella_burnetii
Coxiella_burnetii_RSA_493_uid57631,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiella,Coxiella_burnetii
Croceibacter_atlanticus_HTCC2559_uid49661,Bacteria,Bacteroidetes,Flavobacteriia,Croceibacter,Croceibacter_atlanticus
Cronobacter_sakazakii_ATCC_BAA_894_uid58145,Bacteria,Proteobacteria,Gammaproteobacteria,Cronobacter,Cronobacter_sakazakii
Cronobacter_turicensis_z3032_uid40821,Bacteria,Proteobacteria,Gammaproteobacteria,Cronobacter,Cronobacter_turicensis
Cryptobacterium_curtum_DSM_15641_uid59041,Bacteria,Actinobacteria,Actinobacteria,Cryptobacterium,Cryptobacterium_curtum
Cupriavidus_metallidurans_CH34_uid57815,Bacteria,Proteobacteria,Betaproteobacteria,Cupriavidus,Cupriavidus_metallidurans
Cupriavidus_necator_N_1_uid68689,Bacteria,Proteobacteria,Betaproteobacteria,Cupriavidus,Cupriavidus_necator
Cupriavidus_taiwanensis_LMG_19424_uid61615,Bacteria,Proteobacteria,Betaproteobacteria,Cupriavidus,Cupriavidus_taiwanensis
cyanobacterium_UCYN_A_uid43697,Bacteria,Cyanobacteria,-,cyanobacterium,cyanobacterium_UCYN
Cyanothece_ATCC_51142_uid59013,Bacteria,Cyanobacteria,-,Cyanothece,Cyanothece_ATCC
Cyanothece_PCC_7424_uid59025,Bacteria,Cyanobacteria,-,Cyanothece,Cyanothece_PCC
Cyanothece_PCC_7425_uid59435,Bacteria,Cyanobacteria,-,Cyanothece,Cyanothece_PCC
Cyanothece_PCC_7822_uid52547,Bacteria,Cyanobacteria,-,Cyanothece,Cyanothece_PCC
Cyanothece_PCC_8801_uid59027,Bacteria,Cyanobacteria,-,Cyanothece,Cyanothece_PCC
Cyanothece_PCC_8802_uid59143,Bacteria,Cyanobacteria,-,Cyanothece,Cyanothece_PCC
Cyclobacterium_marinum_DSM_745_uid71485,Bacteria,Bacteroidetes,Cytophagia,Cyclobacterium,Cyclobacterium_marinum
Cytophaga_hutchinsonii_ATCC_33406_uid57651,Bacteria,Bacteroidetes,Cytophagia,Cytophaga,Cytophaga_hutchinsonii
Dechloromonas_aromatica_RCB_uid58025,Bacteria,Proteobacteria,Betaproteobacteria,Dechloromonas,Dechloromonas_aromatica
Deferribacter_desulfuricans_SSM1_uid46653,Bacteria,Deferribacteres,Deferribacteres,Deferribacter,Deferribacter_desulfuricans
Dehalococcoides_BAV1_uid58477,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoides,Dehalococcoides_BAV1
Dehalococcoides_CBDB1_uid58413,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoides,Dehalococcoides_CBDB1
Dehalococcoides_ethenogenes_195_uid57763,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoides,Dehalococcoides_ethenogenes
Dehalococcoides_GT_uid42115,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoides,Dehalococcoides_GT
Dehalococcoides_VS_uid42393,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoides,Dehalococcoides_VS
Dehalogenimonas_lykanthroporepellens_BL_DC_9_uid48131,Bacteria,Chloroflexi,Dehalococcoidia,Dehalogenimonas,Dehalogenimonas_lykanthroporepellens
Deinococcus_deserti_VCD115_uid58615,Bacteria,-,Deinococci,Deinococcus,Deinococcus_deserti
Deinococcus_geothermalis_DSM_11300_uid58275,Bacteria,-,Deinococci,Deinococcus,Deinococcus_geothermalis
Deinococcus_maricopensis_DSM_21211_uid62225,Bacteria,-,Deinococci,Deinococcus,Deinococcus_maricopensis
Deinococcus_proteolyticus_MRP_uid63399,Bacteria,-,Deinococci,Deinococcus,Deinococcus_proteolyticus
Deinococcus_radiodurans_R1_uid57665,Bacteria,-,Deinococci,Deinococcus,Deinococcus_radiodurans
Delftia_acidovorans_SPH_1_uid58703,Bacteria,Proteobacteria,Betaproteobacteria,Delftia,Delftia_acidovorans
Delftia_Cs1_4_uid67319,Bacteria,Proteobacteria,Betaproteobacteria,Delftia,Delftia_Cs1
Denitrovibrio_acetiphilus_DSM_12809_uid46657,Bacteria,Deferribacteres,Deferribacteres,Denitrovibrio,Denitrovibrio_acetiphilus
Desulfarculus_baarsii_DSM_2075_uid51371,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculus,Desulfarculus_baarsii
Desulfatibacillum_alkenivorans_AK_01_uid58913,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfatibacillum,Desulfatibacillum_alkenivorans
Desulfitobacterium_hafniense_DCB_2_uid57749,Bacteria,Firmicutes,Clostridia,Desulfitobacterium,Desulfitobacterium_hafniense
Desulfitobacterium_hafniense_Y51_uid58605,Bacteria,Firmicutes,Clostridia,Desulfitobacterium,Desulfitobacterium_hafniense
Desulfobacca_acetoxidans_DSM_11109_uid65785,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacca,Desulfobacca_acetoxidans
Desulfobacterium_autotrophicum_HRM2_uid59061,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterium,Desulfobacterium_autotrophicum
Desulfobulbus_propionicus_DSM_2032_uid62265,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobulbus,Desulfobulbus_propionicus
Desulfococcus_oleovorans_Hxd3_uid58777,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfococcus,Desulfococcus_oleovorans
Desulfohalobium_retbaense_DSM_5692_uid59183,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfohalobium,Desulfohalobium_retbaense
Desulfomicrobium_baculatum_DSM_4028_uid59217,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfomicrobium,Desulfomicrobium_baculatum
Desulfotalea_psychrophila_LSv54_uid58153,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfotalea,Desulfotalea_psychrophila
Desulfotomaculum_acetoxidans_DSM_771_uid59109,Bacteria,Firmicutes,Clostridia,Desulfotomaculum,Desulfotomaculum_acetoxidans
Desulfotomaculum_carboxydivorans_CO_1_SRB_uid67317,Bacteria,Firmicutes,Clostridia,Desulfotomaculum,Desulfotomaculum_carboxydivorans
Desulfotomaculum_kuznetsovii_DSM_6115_uid67357,Bacteria,Firmicutes,Clostridia,Desulfotomaculum,Desulfotomaculum_kuznetsovii
Desulfotomaculum_reducens_MI_1_uid58277,Bacteria,Firmicutes,Clostridia,Desulfotomaculum,Desulfotomaculum_reducens
Desulfotomaculum_ruminis_DSM_2154_uid67507,Bacteria,Firmicutes,Clostridia,Desulfotomaculum,Desulfotomaculum_ruminis
Desulfovibrio_aespoeensis_Aspo_2_uid42613,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_aespoeensis
Desulfovibrio_alaskensis_G20_uid57941,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_alaskensis
Desulfovibrio_desulfuricans_ATCC_27774_uid59213,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_desulfuricans
Desulfovibrio_magneticus_RS_1_uid59309,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_magneticus
Desulfovibrio_salexigens_DSM_2638_uid59223,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_salexigens
Desulfovibrio_vulgaris_DP4_uid58679,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_vulgaris
Desulfovibrio_vulgaris_Hildenborough_uid57645,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_vulgaris
Desulfovibrio_vulgaris__Miyazaki_F__uid59089,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrio,Desulfovibrio_vulgaris
Desulfurispirillum_indicum_S5_uid45897,Bacteria,Chrysiogenetes,Chrysiogenetes,Desulfurispirillum,Desulfurispirillum_indicum
Desulfurivibrio_alkaliphilus_AHT2_uid49487,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurivibrio,Desulfurivibrio_alkaliphilus
Desulfurobacterium_thermolithotrophum_DSM_11699_uid63405,Bacteria,Aquificae,Aquificae,Desulfurobacterium,Desulfurobacterium_thermolithotrophum
Desulfurococcus_kamchatkensis_1221n_uid59133,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcus,Desulfurococcus_kamchatkensis
Desulfurococcus_mucosus_DSM_2162_uid62227,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcus,Desulfurococcus_mucosus
Dichelobacter_nodosus_VCS1703A_uid57643,Bacteria,Proteobacteria,Gammaproteobacteria,Dichelobacter,Dichelobacter_nodosus
Dickeya_dadantii_3937_uid52537,Bacteria,Proteobacteria,Gammaproteobacteria,Dickeya,Dickeya_dadantii
Dickeya_dadantii_Ech586_uid42519,Bacteria,Proteobacteria,Gammaproteobacteria,Dickeya,Dickeya_dadantii
Dickeya_dadantii_Ech703_uid59363,Bacteria,Proteobacteria,Gammaproteobacteria,Dickeya,Dickeya_dadantii
Dickeya_zeae_Ech1591_uid59297,Bacteria,Proteobacteria,Gammaproteobacteria,Dickeya,Dickeya_zeae
Dictyoglomus_thermophilum_H_6_12_uid59439,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomus,Dictyoglomus_thermophilum
Dictyoglomus_turgidum_DSM_6724_uid59177,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomus,Dictyoglomus_turgidum
Dinoroseobacter_shibae_DFL_12_uid58707,Bacteria,Proteobacteria,Alphaproteobacteria,Dinoroseobacter,Dinoroseobacter_shibae
Dyadobacter_fermentans_DSM_18053_uid59049,Bacteria,Bacteroidetes,Cytophagia,Dyadobacter,Dyadobacter_fermentans
Edwardsiella_ictaluri_93_146_uid59403,Bacteria,Proteobacteria,Gammaproteobacteria,Edwardsiella,Edwardsiella_ictaluri
Edwardsiella_tarda_EIB202_uid41819,Bacteria,Proteobacteria,Gammaproteobacteria,Edwardsiella,Edwardsiella_tarda
Eggerthella_lenta_DSM_2243_uid59079,Bacteria,Actinobacteria,Actinobacteria,Eggerthella,Eggerthella_lenta
Eggerthella_YY7918_uid68707,Bacteria,Actinobacteria,Actinobacteria,Eggerthella,Eggerthella_YY7918
Ehrlichia_canis_Jake_uid58071,Bacteria,Proteobacteria,Alphaproteobacteria,Ehrlichia,Ehrlichia_canis
Ehrlichia_chaffeensis_Arkansas_uid57933,Bacteria,Proteobacteria,Alphaproteobacteria,Ehrlichia,Ehrlichia_chaffeensis
Ehrlichia_ruminantium_Gardel_uid58245,Bacteria,Proteobacteria,Alphaproteobacteria,Ehrlichia,Ehrlichia_ruminantium
Ehrlichia_ruminantium_Welgevonden_uid58013,Bacteria,Proteobacteria,Alphaproteobacteria,Ehrlichia,Ehrlichia_ruminantium
Ehrlichia_ruminantium_Welgevonden_uid58243,Bacteria,Proteobacteria,Alphaproteobacteria,Ehrlichia,Ehrlichia_ruminantium
Elusimicrobium_minutum_Pei191_uid58949,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobium,Elusimicrobium_minutum
Enterobacter_638_uid58727,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacter,Enterobacter_638
Enterobacter_aerogenes_KCTC_2190_uid68103,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacter,Enterobacter_aerogenes
Enterobacter_asburiae_LF7a_uid72793,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacter,Enterobacter_asburiae
Enterobacter_cloacae_ATCC_13047_uid48363,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacter,Enterobacter_cloacae
Enterobacter_cloacae_SCF1_uid59969,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacter,Enterobacter_cloacae
Enterococcus_faecalis_V583_uid57669,Bacteria,Firmicutes,Bacilli,Enterococcus,Enterococcus_faecalis
Erwinia_amylovora_ATCC_49946_uid46943,Bacteria,Proteobacteria,Gammaproteobacteria,Erwinia,Erwinia_amylovora
Erwinia_amylovora_CFBP1430_uid46839,Bacteria,Proteobacteria,Gammaproteobacteria,Erwinia,Erwinia_amylovora
Erwinia_billingiae_Eb661_uid50547,Bacteria,Proteobacteria,Gammaproteobacteria,Erwinia,Erwinia_billingiae
Erwinia_pyrifoliae_Ep1_96_uid40659,Bacteria,Proteobacteria,Gammaproteobacteria,Erwinia,Erwinia_pyrifoliae
Erwinia_tasmaniensis_Et1_99_uid59029,Bacteria,Proteobacteria,Gammaproteobacteria,Erwinia,Erwinia_tasmaniensis
Erysipelothrix_rhusiopathiae_Fujisawa_uid68021,Bacteria,Firmicutes,Erysipelotrichi,Erysipelothrix,Erysipelothrix_rhusiopathiae
Erythrobacter_litoralis_HTCC2594_uid58299,Bacteria,Proteobacteria,Alphaproteobacteria,Erythrobacter,Erythrobacter_litoralis
Escherichia_coli_536_uid58531,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_55989_uid59383,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_APEC_O1_uid58623,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_ATCC_8739_uid58783,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli__BL21_Gold_DE3_pLysS_AG__uid59245,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_B_REL606_uid58803,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_BW2952_uid59391,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_CFT073_uid57915,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_E24377A_uid58395,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_ED1a_uid59379,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_HS_uid58393,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_IAI39_uid59381,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_K_12_substr__DH10B_uid58979,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
Escherichia_coli_K_12_substr__MG1655_uid57779,Bacteria,Proteobacteria,Gammaproteobacteria,Escherichia,Escherichia_coli
